dataset,image_name,attention_blue,attention_green,attention_lowlight
UIEB_raw_890,121_img_.png,0.3796622157096863,0.3433397114276886,0.2769981026649475
UIEB_raw_890,1225.png,0.18901047110557556,0.41824138164520264,0.3927481174468994
UIEB_raw_890,12290.png,0.1460939347743988,0.34136059880256653,0.5125454664230347
UIEB_raw_890,12299.png,0.21714714169502258,0.3952611982822418,0.3875916004180908
UIEB_raw_890,122_img_.png,0.23807665705680847,0.443639874458313,0.31828343868255615
UIEB_raw_890,12324.png,0.1833159327507019,0.3736909031867981,0.4429931938648224
UIEB_raw_890,12336.png,0.17447347939014435,0.43517881631851196,0.3903476893901825
UIEB_raw_890,12348.png,0.19709748029708862,0.35175853967666626,0.4511439800262451
UIEB_raw_890,123_img_.png,0.17539837956428528,0.4847860038280487,0.339815616607666
UIEB_raw_890,12422.png,0.34231868386268616,0.3653724789619446,0.29230886697769165
UIEB_raw_890,12433.png,0.3173210620880127,0.3738345205783844,0.3088444471359253
UIEB_raw_890,12445.png,0.29355576634407043,0.42616555094718933,0.28027865290641785
UIEB_raw_890,124_img_.png,0.2519298791885376,0.4291345775127411,0.3189355432987213
UIEB_raw_890,125_img_.png,0.16029703617095947,0.49541011452674866,0.34429287910461426
UIEB_raw_890,12900.png,0.3157101273536682,0.4168022572994232,0.2674875855445862
UIEB_raw_890,129_img_.png,0.39162904024124146,0.35279184579849243,0.2555791139602661
UIEB_raw_890,130_img_.png,0.20623056590557098,0.47252532839775085,0.32124412059783936
UIEB_raw_890,131_img_.png,0.3474074602127075,0.3847794532775879,0.2678130865097046
UIEB_raw_890,133_img_.png,0.2052856981754303,0.49041497707366943,0.30429935455322266
UIEB_raw_890,135_img_.png,0.4801933765411377,0.30884361267089844,0.21096302568912506
UIEB_raw_890,136_img_.png,0.38969677686691284,0.27990078926086426,0.3304023742675781
UIEB_raw_890,137_img_.png,0.23652522265911102,0.4594533443450928,0.304021418094635
UIEB_raw_890,138_img_.png,0.4346678853034973,0.33159834146499634,0.23373380303382874
UIEB_raw_890,139_img_.png,0.5523326396942139,0.28871068358421326,0.1589566469192505
UIEB_raw_890,13_img_.png,0.4544684886932373,0.3262488842010498,0.2192826271057129
UIEB_raw_890,1407.png,0.18454593420028687,0.4258062243461609,0.38964784145355225
UIEB_raw_890,140_img_.png,0.3536895513534546,0.38124001026153564,0.26507043838500977
UIEB_raw_890,141_img_.png,0.2820459008216858,0.3949907422065735,0.3229633569717407
UIEB_raw_890,142_img_.png,0.3789796531200409,0.38746023178100586,0.23356011509895325
UIEB_raw_890,143_img_.png,0.37697702646255493,0.34402161836624146,0.2790013551712036
UIEB_raw_890,144_img_.png,0.3431354761123657,0.4039296507835388,0.25293487310409546
UIEB_raw_890,145_img_.png,0.31149324774742126,0.42335546016693115,0.2651512622833252
UIEB_raw_890,146_img_.png,0.4739087224006653,0.31823694705963135,0.20785430073738098
UIEB_raw_890,148_img_.png,0.2609705328941345,0.43023160099983215,0.30879783630371094
UIEB_raw_890,1491.png,0.2859365940093994,0.3885551989078522,0.325508177280426
UIEB_raw_890,149_img_.png,0.45716580748558044,0.3234446048736572,0.21938958764076233
UIEB_raw_890,14_img_.png,0.3396523594856262,0.37889713048934937,0.2814505398273468
UIEB_raw_890,15001.png,0.044551290571689606,0.5317357778549194,0.42371293902397156
UIEB_raw_890,15003.png,0.03633350878953934,0.5493471622467041,0.41431933641433716
UIEB_raw_890,15045.png,0.2904031276702881,0.4445962607860565,0.2650006115436554
