dataset,image_name,attention_blue,attention_lowlight,attention_blur
UIEB_raw_890,277_img_.png,0.2478889524936676,0.23157095909118652,0.5205400586128235
UIEB_raw_890,2787.png,0.033051855862140656,0.2257702648639679,0.7411779165267944
UIEB_raw_890,278_img_.png,0.1494898945093155,0.2755424678325653,0.574967622756958
UIEB_raw_890,279_img_.png,0.10200273245573044,0.2514537572860718,0.6465435028076172
UIEB_raw_890,27_img_.png,0.16724276542663574,0.17744696140289307,0.6553102731704712
UIEB_raw_890,280_img_.png,0.15228036046028137,0.1591568887233734,0.6885627508163452
UIEB_raw_890,281_img_.png,0.08053785562515259,0.16387155652046204,0.755590558052063
UIEB_raw_890,282_img_.png,0.17898601293563843,0.17046579718589783,0.6505482196807861
UIEB_raw_890,284_img_.png,0.21044883131980896,0.18452675640583038,0.6050243973731995
UIEB_raw_890,285_img_.png,0.19402849674224854,0.23066920042037964,0.5753023624420166
UIEB_raw_890,287_img_.png,0.150837704539299,0.2756015658378601,0.5735607147216797
UIEB_raw_890,2882.png,0.109468013048172,0.2083032727241516,0.682228684425354
UIEB_raw_890,288_img_.png,0.12788379192352295,0.2425963282585144,0.6295198202133179
UIEB_raw_890,28_img_.png,0.14838464558124542,0.1981169879436493,0.6534982919692993
UIEB_raw_890,290_img_.png,0.11209315061569214,0.252834677696228,0.6350722312927246
UIEB_raw_890,292_img_.png,0.12893889844417572,0.17961078882217407,0.6914503574371338
UIEB_raw_890,293_img_.png,0.10716141760349274,0.2106524109840393,0.6821861267089844
UIEB_raw_890,294_img_.png,0.06456907093524933,0.24025022983551025,0.6951806545257568
UIEB_raw_890,295_img_.png,0.28268682956695557,0.22167253494262695,0.4956406354904175
UIEB_raw_890,296_img_.png,0.14995771646499634,0.18762809038162231,0.6624141931533813
UIEB_raw_890,2977.png,0.18173983693122864,0.25479722023010254,0.5634629726409912
UIEB_raw_890,298_img_.png,0.09647034108638763,0.1430349349975586,0.7604947090148926
UIEB_raw_890,299_img_.png,0.31259626150131226,0.2351732850074768,0.45223042368888855
UIEB_raw_890,29_img_.png,0.058826129883527756,0.15934666991233826,0.7818272113800049
UIEB_raw_890,2_img_.png,0.10117809474468231,0.28716301918029785,0.6116588711738586
UIEB_raw_890,3001.png,0.09851142764091492,0.24651667475700378,0.6549718976020813
UIEB_raw_890,300_img_.png,0.08389832079410553,0.2597947418689728,0.6563069820404053
UIEB_raw_890,3015.png,0.10560470074415207,0.22265499830245972,0.6717402935028076
UIEB_raw_890,301_img_.png,0.27047353982925415,0.2605099081993103,0.46901652216911316
UIEB_raw_890,302_img_.png,0.19144052267074585,0.24235393106937408,0.5662055015563965
UIEB_raw_890,303_img_.png,0.14195039868354797,0.18626227974891663,0.6717873811721802
UIEB_raw_890,304_img_.png,0.043574072420597076,0.1997951865196228,0.7566307783126831
UIEB_raw_890,305_img_.png,0.22039583325386047,0.28448888659477234,0.4951152801513672
UIEB_raw_890,306_img_.png,0.15640658140182495,0.205333411693573,0.638260006904602
UIEB_raw_890,307_img_.png,0.09348335862159729,0.20313583314418793,0.703380823135376
UIEB_raw_890,30_img_.png,0.3632761240005493,0.17766059935092926,0.45906326174736023
UIEB_raw_890,31.png,0.10676242411136627,0.22285255789756775,0.6703850030899048
UIEB_raw_890,311_img_.png,0.1469789743423462,0.204402893781662,0.6486181616783142
UIEB_raw_890,312_img_.png,0.10751406103372574,0.24076516926288605,0.6517207622528076
UIEB_raw_890,313_img_.png,0.1889515221118927,0.21849177777767181,0.5925567150115967
UIEB_raw_890,314_img_.png,0.14064152538776398,0.21903371810913086,0.6403247117996216
UIEB_raw_890,315_img_.png,0.192154198884964,0.22683438658714294,0.5810114145278931
UIEB_raw_890,316_img_.png,0.24470677971839905,0.2372225970029831,0.5180705785751343
UIEB_raw_890,317_img_.png,0.2621966600418091,0.24262011051177979,0.49518319964408875
UIEB_raw_890,318_img_.png,0.0669320672750473,0.266097754240036,0.6669701337814331
UIEB_raw_890,3196.png,0.0769893079996109,0.256570965051651,0.6664397120475769
UIEB_raw_890,319_img_.png,0.178407222032547,0.25688886642456055,0.5647039413452148
UIEB_raw_890,3202.png,0.06419031322002411,0.257811039686203,0.6779986619949341
UIEB_raw_890,320_img_.png,0.16918426752090454,0.2448444366455078,0.5859712362289429
UIEB_raw_890,322_img_.png,0.29121506214141846,0.21726423501968384,0.4915207028388977
UIEB_raw_890,323_img_.png,0.16646841168403625,0.23757041990756989,0.5959611535072327
UIEB_raw_890,324_img_.png,0.16273650527000427,0.2719472050666809,0.5653163194656372
UIEB_raw_890,325_img_.png,0.27512437105178833,0.18483413755893707,0.5400415062904358
UIEB_raw_890,326_img_.png,0.2404736578464508,0.2073233425617218,0.5522029995918274
UIEB_raw_890,327_img_.png,0.10294970124959946,0.22131989896297455,0.6757303476333618
UIEB_raw_890,328_img_.png,0.17569370567798615,0.19222140312194824,0.6320849061012268
UIEB_raw_890,32_img_.png,0.16460150480270386,0.2626097798347473,0.5727887153625488
